gid,year,pop_gpw_sum
"59987","2010","2900.3237"
"59988","2010","1482.8281"
"59989","2010","84.55904"
"60690","2010","14.873899"
"60691","2010","26.968563"
"60692","2010","53.150047"
"60693","2010","54.562954"
"60694","2010","407.99005"
"60695","2010","525.86725"
"60696","2010","283.10062"
"60697","2010","205.65814"
"60698","2010","205.65814"
"60699","2010","212.1034"
"60700","2010","462.88898"
"60701","2010","1694.993"
"60702","2010","3099.3962"
"60703","2010","3099.3962"
"60704","2010","3099.3962"
"60705","2010","3099.3962"
"60706","2010","3099.3962"
"60707","2010","3099.3962"
"60708","2010","3099.3962"
"60709","2010","1048.3466"
"61411","2010","0.11920406"
"61412","2010","50.20907"
"61413","2010","76.135445"
"61414","2010","623.9888"
"61415","2010","833.60443"
"61416","2010","558.5382"
"61417","2010","427.25558"
"61418","2010","476.1162"
"61419","2010","508.041"
"61420","2010","594.78217"
"61421","2010","1609.9755"
"61422","2010","3129.0608"
"61423","2010","3129.0608"
"61424","2010","3129.0608"
"61425","2010","3129.0608"
"61426","2010","3129.0608"
"61427","2010","2963.2542"
"61428","2010","2623.2192"
"61429","2010","1235.9459"
"61896","2010","136.4562"
"61897","2010","37.105892"
"62129","2010","346.07083"
"62130","2010","693.9382"
"62131","2010","993.1592"
"62132","2010","1052.5547"
"62133","2010","664.24"
"62134","2010","1331.3326"
"62135","2010","1468.8727"
"62136","2010","1548.387"
"62137","2010","1158.9076"
"62138","2010","521.34656"
"62139","2010","600.3755"
"62140","2010","600.3755"
"62141","2010","1499.3947"
"62142","2010","3158.4863"
"62143","2010","3158.4863"
"62144","2010","3158.4863"
"62145","2010","3158.4863"
"62146","2010","2183.0212"
"62147","2010","243.38522"
"62356","2010","0"
"62616","2010","143.7645"
"62617","2010","16415.426"
"62618","2010","1637.0956"
"62619","2010","726.78326"
"62620","2010","84.62582"
"62850","2010","456.21313"
"62851","2010","1406.9426"
"62852","2010","1483.787"
"62853","2010","1211.8115"
"62854","2010","1313.7935"
"62855","2010","1002.3569"
"62856","2010","1524.099"
"62857","2010","2552.4539"
"62858","2010","554.0001"
"62859","2010","605.923"
"62860","2010","605.92017"
"62861","2010","1439.9514"
"62862","2010","3166.8796"
"62863","2010","3167.1724"
"62864","2010","3298.5767"
"62865","2010","2698.0461"
"62866","2010","14.733343"
"63333","2010","0.9416695"
"63334","2010","226.98845"
"63335","2010","318.91617"
"63336","2010","2693.6323"
"63337","2010","33088.61"
"63338","2010","14278.111"
"63339","2010","3380.068"
"63340","2010","8554.459"
"63341","2010","3316.8984"
"63570","2010","61.929634"
"63571","2010","745.4583"
"63572","2010","1187.5326"
"63573","2010","1026.185"
"63574","2010","1526.708"
"63575","2010","6435.685"
"63576","2010","13886.299"
"63577","2010","8846.267"
"63578","2010","623.47675"
"63579","2010","609.6183"
"63580","2010","609.60815"
"63581","2010","903.02185"
"63582","2010","1553.1614"
"63583","2010","1299.4799"
"63584","2010","18305.025"
"63585","2010","23976.275"
"63586","2010","5653.512"
"64053","2010","28.636099"
"64054","2010","408.51535"
"64055","2010","566.2216"
"64056","2010","1417.7687"
"64057","2010","3179.256"
"64058","2010","2031.0255"
"64059","2010","3207.1223"
"64060","2010","2712.0405"
"64061","2010","61465.28"
"64062","2010","48105.484"
"64291","2010","49.49246"
"64292","2010","945.3698"
"64293","2010","912.16516"
"64294","2010","1236.4917"
"64295","2010","1584.4015"
"64296","2010","5632.954"
"64297","2010","14107.565"
"64298","2010","2857.5334"
"64299","2010","615.0443"
"64300","2010","615.0443"
"64301","2010","894.6735"
"64302","2010","1409.513"
"64303","2010","1356.7341"
"64304","2010","18611.523"
"64305","2010","24710.785"
"64306","2010","22260.451"
"64307","2010","9067.754"
"64308","2010","469.69067"
"64309","2010","15.242028"
"64774","2010","111.85155"
"64775","2010","418.67276"
"64776","2010","389.7641"
"64777","2010","981.2169"
"64778","2010","15354.489"
"64779","2010","7352.6445"
"64780","2010","1372.5994"
"64781","2010","2545.2805"
"64782","2010","13122.008"
"64783","2010","1142.6031"
"65010","2010","0"
"65011","2010","146.597"
"65012","2010","1028.1194"
"65013","2010","739.9952"
"65014","2010","1087.4342"
"65015","2010","1404.0397"
"65016","2010","3611.2068"
"65017","2010","2000.1694"
"65018","2010","570.39386"
"65019","2010","697.4573"
"65020","2010","701.8967"
"65021","2010","708.082"
"65022","2010","1117.1144"
"65023","2010","1110.2809"
"65024","2010","11897.003"
"65025","2010","15766.738"
"65026","2010","13167.609"
"65027","2010","260.54443"
"65028","2010","260.8943"
"65029","2010","204.37625"
"65030","2010","12.5479965"
"65495","2010","89.72448"
"65496","2010","366.5139"
"65497","2010","1188.2817"
"65498","2010","6598.6196"
"65499","2010","2834.4363"
"65500","2010","1328.9985"
"65501","2010","862.73553"
"65502","2010","2846.1562"
"65503","2010","4152.488"
"65527","2010","0"
"65528","2010","0"
"65731","2010","19.376947"
"65732","2010","644.6167"
"65733","2010","1029.4253"
"65734","2010","663.8756"
"65735","2010","1532.088"
"65736","2010","1111.9087"
"65737","2010","672.4129"
"65738","2010","809.5474"
"65739","2010","862.4453"
"65740","2010","862.4453"
"65741","2010","720.0949"
"65742","2010","197.6751"
"65743","2010","197.6751"
"65744","2010","197.6751"
"65745","2010","184.46947"
"65746","2010","157.38316"
"65747","2010","220.55211"
"65748","2010","264.26633"
"65749","2010","264.26633"
"65750","2010","123.9009"
"66216","2010","29.444183"
"66217","2010","309.0358"
"66218","2010","1364.2963"
"66219","2010","2843.9102"
"66220","2010","1424.59"
"66221","2010","656.98724"
"66222","2010","2374.9097"
"66223","2010","36578.957"
"66224","2010","563.1151"
"66247","2010","0"
"66248","2010","0"
"66451","2010","2316.9727"
"66452","2010","358.42877"
"66453","2010","869.63794"
"66454","2010","208.5536"
"66455","2010","1743.8812"
"66456","2010","1735.1636"
"66457","2010","1688.4065"
"66458","2010","2352.437"
"66459","2010","898.95935"
"66460","2010","628.276"
"66461","2010","597.0765"
"66462","2010","199.34811"
"66463","2010","199.34811"
"66464","2010","199.34811"
"66465","2010","185.65118"
"66466","2010","173.18633"
"66467","2010","236.32452"
"66468","2010","1338.0529"
"66469","2010","1301.8735"
"66470","2010","9886.717"
"66893","2010","315.96783"
"66894","2010","777.216"
"66895","2010","18.492025"
"66938","2010","36.570694"
"66939","2010","225.7363"
"66940","2010","585.30164"
"66941","2010","842.3065"
"66942","2010","2699.9294"
"66943","2010","3288.8762"
"66944","2010","19390.873"
"66945","2010","32480.336"
"66946","2010","254024.42"
"66947","2010","805.756"
"67172","2010","12225.877"
"67173","2010","13603.079"
"67174","2010","262.94666"
"67175","2010","1656.6173"
"67176","2010","2669.699"
"67177","2010","8796.633"
"67178","2010","11448.637"
"67179","2010","4045.632"
"67180","2010","434.86087"
"67181","2010","412.09778"
"67182","2010","186.02649"
"67183","2010","185.941"
"67184","2010","185.85548"
"67185","2010","179.82362"
"67186","2010","592.53925"
"67187","2010","1589.42"
"67188","2010","2212.2153"
"67189","2010","2212.2153"
"67190","2010","59649.9"
"67191","2010","23512.625"
"67192","2010","2079.6501"
"67612","2010","658.66547"
"67613","2010","4433.0176"
"67614","2010","5104.3813"
"67615","2010","17686.42"
"67616","2010","2145.0042"
"67617","2010","5.392569"
"67660","2010","42.14225"
"67661","2010","297.65244"
"67662","2010","1328.7957"
"67663","2010","2370.749"
"67664","2010","1912.3785"
"67665","2010","24128.037"
"67666","2010","112404.57"
"67667","2010","100.32188"
"67892","2010","12370.72"
"67893","2010","32974.965"
"67894","2010","7042.5146"
"67895","2010","1199.5105"
"67896","2010","4692.3364"
"67897","2010","10460.111"
"67898","2010","5941.117"
"67899","2010","4555.326"
"67900","2010","1168.6329"
"67901","2010","1332.899"
"67902","2010","213.04256"
"67903","2010","180.01332"
"67904","2010","211.44359"
"67905","2010","220.44101"
"67906","2010","372.74133"
"67907","2010","737.5285"
"67908","2010","765.01385"
"67909","2010","9255.563"
"67910","2010","29911.521"
"67911","2010","19788.701"
"67912","2010","7760.333"
"67913","2010","6635.7754"
"68331","2010","336.77756"
"68332","2010","1487.9161"
"68333","2010","1371.2725"
"68334","2010","2055.6838"
"68335","2010","158205.27"
"68336","2010","16112.962"
"68337","2010","157.47734"
"68382","2010","3584.4636"
"68383","2010","2678.8962"
"68384","2010","2450.3093"
"68385","2010","1547.093"
"68386","2010","2081.0127"
"68387","2010","2465.2822"
"68388","2010","7.109866"
"68612","2010","13059.397"
"68613","2010","52848"
"68614","2010","8920.978"
"68615","2010","1450.6326"
"68616","2010","4853.8706"
"68617","2010","3089.1077"
"68618","2010","3057.3428"
"68619","2010","3057.3428"
"68620","2010","3051.8774"
"68621","2010","3032.384"
"68622","2010","464.4632"
"68623","2010","194.91864"
"68624","2010","231.01256"
"68625","2010","235.56468"
"68626","2010","235.47722"
"68627","2010","236.93355"
"68628","2010","237.73822"
"68629","2010","12492.65"
"68630","2010","13195.472"
"68631","2010","7334.673"
"68632","2010","3599.7822"
